folio,PROGRAMA_R,CVEGEO,AGEB,MZA,Genero,Edad,trabaja,nombre_del_trabajo,en_el_ultimo_year_recibio_dinero_porq,ingreso_personal_mes,ingreso_fami_mes
1166.0,ATENCION A LOS ADULTOS MAYORES,1412000010602024,0602,024,M,75.0,NO,NULL,NULL,1000.0,1000.0
1167.0,ATENCION A LOS ADULTOS MAYORES,1412000013819018,3819,018,F,78.0,NO,NULL,NULL,0.0,0.0
1289.0,ATENCION A LOS ADULTOS MAYORES,1412000012628038,2628,038,F,75.0,SI,PIÑATERA,NULL,800.0,800.0
1294.0,ATENCION A LOS ADULTOS MAYORES,1412000012632004,2632,004,F,88.0,NO,NULL,NULL,1500.0,1500.0
1324.0,ATENCION A LOS ADULTOS MAYORES,1412000010602024,0602,024,F,76.0,NO,NULL,NULL,1000.0,1000.0
1332.0,ATENCION A LOS ADULTOS MAYORES,1412000013819018,3819,018,M,81.0,NO,NULL,NULL,500.0,500.0
1351.0,ATENCION A LOS ADULTOS MAYORES,1412000014380012,4380,012,F,85.0,NO,NULL,NULL,500.0,500.0
1376.0,ATENCION A LOS ADULTOS MAYORES,1412000012331011,2331,011,F,73.0,NO,NULL,NULL,0.0,1800.0
1425.0,ATENCION A LOS ADULTOS MAYORES,1412000012651006,2651,006,M,80.0,NO,NULL,NULL,0.0,1000.0
1450.0,ATENCION A LOS ADULTOS MAYORES,1412000014427011,4427,011,F,85.0,NO,NULL,NULL,0.0,3000.0
1455.0,ATENCION A LOS ADULTOS MAYORES,1412000012670022,2670,022,M,89.0,NO,NULL,NULL,0.0,500.0
1482.0,ATENCION A LOS ADULTOS MAYORES,1412000012666031,2666,031,F,76.0,NO,NULL,NULL,0.0,0.0
1488.0,ATENCION A LOS ADULTOS MAYORES,1412000015209003,5209,003,F,77.0,NO,NULL,NULL,0.0,1500.0
1609.0,ATENCION A LOS ADULTOS MAYORES,1412000012399017,2399,017,F,73.0,NO,NULL,NULL,0.0,800.0
1675.0,ATENCION A LOS ADULTOS MAYORES,1412000012929009,2929,009,M,79.0,NO,NULL,NULL,500.0,500.0
