"","Colonia","Municipio","Ind_Marg","Cant_de_beneficiarios"
"1","LOMAS DE TABACHINES","zapopan",2.58470532289797,302
"3","LAS HUERTAS","tlaq",0.628521774697756,418
"4","SAN ANTONIO","guadalajara",0.0827190613783165,122
"5","NUEVO VERGEL","zapopan",1.59780786939556,98
"6","SANTA FE","tlajomulco",-0.226288722566342,177
"8","LOMAS DEL TAPATIO","tlaq",0.76352277354366,158
"9","BALCONES DE SANTA MARIA","tlaq",-0.927194957485918,308
"10","TOLUQUILLA","tlaq",0.262165871395447,45
"13","LOMAS DEL CAMICHIN","tonala",0.279265494524673,197
"15","MIRAMAR","zapopan",1.01432325354946,449
"16","JARDINES DEL SUR","guadalajara",-1.28573613415691,254
"17","PARQUES DE TESISTAN","zapopan",-0.411927158013192,148
"20","LOMAS DE ZAPOPAN","zapopan",-0.817357606974776,422
"23","LOS PUESTOS","tlaq",1.7356592131371,93
"25","ALTAGRACIA","zapopan",-0.270718681008029,122
"28","PRADOS PROVIDENCIA","guadalajara",-1.99217555825025,11
"31","PALMIRA","zapopan",1.34455493295088,62
"34","HACIENDA DE LOS EUCALIPTOS","tlajomulco",0.409124334475533,50
"35","OBLATOS","guadalajara",0.169794275437156,889
"40","INSURGENTES","guadalajara",0.0569995346294683,884
"44","HIDALGO","tlaq",0.454197121342,65
"46","CIUDAD GRANJA","zapopan",-1.02900009362674,112
"47","JARDINES DE LA PAZ","guadalajara",-1.28604700371032,272
"51","PASEOS DE SANTIAGO","tonala",-0.795367256522938,97
"59","LAZARO CARDENAS","guadalajara",1.01583625274373,139
"66","SANTA MARGARITA","zapopan",0.494021459628462,311
"71","NUEVA SANTA MARIA","tlaq",1.30556931210952,317
"75","LOMA BONITA","zapopan",-1.67652676747542,59
"78","INFONAVIT LA SOLEDAD","tonala",-0.399588515091326,131
"79","EL MANANTIAL","guadalajara",-1.4184336156472,40
"80","LOMAS DE POLANCO","guadalajara",-0.123608953107157,373
"82","PARAISOS DEL COLLI","zapopan",0.752417543866217,249
"86","TABACHINES","zapopan",-1.07150356942583,274
"87","ARCOS DE ZALATITAN","tonala",1.42892630254703,17
"90","BENITO JUAREZ","zapopan",0.250942550279799,128
"92","VALLE DORADO","tlajomulco",0.149211860798605,122
"95","ALFREDO BARBA","tlaq",1.27791617814409,103
"99","LA PERLA","guadalajara",-0.32883064872084,264
"100","SAN AGUSTIN","tlajomulco",0.646730243994211,133
"104","PASEOS DEL VALLE","tonala",-0.290936979312471,78
"105","LA MARTINICA","zapopan",1.0477437362726,115
"107","SAGRADA FAMILIA","guadalajara",-0.928057251747139,44
"108","LIBERTADOR MIGUEL HIDALGO","guadalajara",-1.44216703262411,42
"110","CONSTITUCION","zapopan",0.11021996177635,563
"111","MORELOS","guadalajara",-0.739616373485387,234
"112","LOMA BONITA EJIDAL","tlaq",0.26921262554665,61
"116","COYULA","tonala",3.18971817696323,51
"119","LIBERTAD","guadalajara",-0.181194150621969,209
"124","LAS JUNTAS","tlaq",0.716840331475828,156
"125","SAN RAFAEL","guadalajara",-1.12999690852701,268
"126","LOMAS DE LA SOLEDAD","tonala",1.05586535703229,102
"127","RANCHO NUEVO","guadalajara",0.269700656691831,352
"128","PIRAMIDES","zapopan",0.907692024010251,3
"132","SANTA ANITA","tlaq",0.66727566445334,86
"134","20 DE NOVIEMBRE","tonala",1.02988263246858,127
"137","12 DE DICIEMBRE","zapopan",4.65559197383588,17
"145","EL COLLI URBANO","zapopan",-0.776721646717708,74
"148","REY XOLOTL","tonala",1.23188071098781,100
"153","LOS TULIPANES","tonala",4.89038514374297,17
"154","MIRADOR DE SAN ISIDRO","zapopan",-1.32612767974049,82
"162","LOMA BONITA","tonala",1.70128401766964,146
"163","EL CARMEN","guadalajara",0.639271371628908,140
"165","LAGOS DE ORIENTE","guadalajara",0.625011313258559,390
"168","RESIDENCIAL PONIENTE","zapopan",-0.80646656224239,66
"169","JARDINES DEL VALLE","zapopan",-1.04353049736484,582
"175","INDEPENDENCIA","guadalajara",-1.54587523371926,383
"177","PONCIANO ARRIAGA","tlaq",1.26954283774197,16
"178","DEL FRESNO","guadalajara",-0.342280656442694,387
"179","EL ZALATE","guadalajara",-0.69333901109257,106
"185","LOMAS DEL PARADERO","guadalajara",-0.436444525695447,184
"187","RANCHO ALEGRE","tlajomulco",0.909663986782427,67
"190","SAN ISIDRO","guadalajara",-0.0330790501455025,176
"192","ARTESANOS","tlaq",1.12631692668623,70
"195","BUENOS AIRES","tlaq",1.51666437050797,181
"207","JUAN DE LA BARRERA","tlaq",1.38411607446292,43
"209","JARDINES DE ATEMAJAC","guadalajara",-1.93161104961314,12
"212","MIGUEL HIDALGO","zapopan",1.00490618218195,145
"214","LOMAS DEL BATAN","zapopan",-0.144584499421633,65
"219","EL VIGIA","zapopan",-0.256237866497982,110
"220","SAN JUAN BOSCO","guadalajara",-0.278355215001782,65
"225","CENTRO","guadalajara",-0.641073225146309,219
"231","JARDINES DE LA ESPERANZA","zapopan",-1.06474776334566,28
"232","SAN PEDRITO","tlaq",1.36008924770592,288
"233","BOSQUES DEL CENTINELA","zapopan",-1.14350433533215,167
"234","HACIENDA SANTA FE","tlajomulco",0.414421956154022,275
"235","LOS ARRAYANES","guadalajara",1.0910683550901,25
"237","EL SAUZ","tlaq",3.29499437337368,201
"238","DEL SUR","guadalajara",-0.504507821283206,105
"241","LOMA BONITA EJIDAL","zapopan",-0.39820222527394,132
"243","LA MAGDALENA","zapopan",2.29121074278929,40
"245","LAS LIEBRES","tlaq",1.83262077958734,157
"246","VILLAS DEL IXTEPETE","zapopan",-1.19778051044066,50
"247","GENERAL REAL","guadalajara",0.127583770603727,123
"251","LA SOLEDAD","tlaq",0.281274262242562,31
"253","ATLAS","guadalajara",-0.7041083678257,283
"254","PARQUES DE ZAPOPAN","zapopan",-1.28689443329061,148
"257","SANTA ELENA ALCALDE","guadalajara",-1.6410540073548,165
"264","JARDINES DEL COUNTRY","guadalajara",-1.8133088498792,127
