"","CVGEO","cant","dens","margin","porc.ap","ind.desat"
"661","1403900011876",122,0.369697,0.01651,0,0.00640652013575548
"670","1403900011965",286,0.353523,-0.43127,0,0.00219136134851666
"745","1403900013482",170,0.188889,0.16492,0,0.0343287474297189
"804","1403900014156",82,0.151292,-0.85509,0,0.0283321306100376
"812","1403900014230",207,0.231285,-0.04579,0,0.0154469731653397
"912","1403900015347",202,0.258974,0.11579,0,0.0141167321866128
"1921","1409700010195",74,0.215743,0.17268,0,0.0424210450089251
"1922","1409700010208",29,0.144279,0.48985,0,0.144385364673182
"1928","1409700010918",226,0.345566,0.06077,0,0.0051063775465785
"1930","1409700010937",198,0.275382,0.20884,0,0.0134157122126631
"1934","1409700011136",21,0.193013,1.36934,0,0.218390536891404
"1935","1409700012098",48,0.045326,-0.55602,0,0.125872440809369
"1940","1409700050335",199,0.32623,0.26366,0,0.00856196370820964
"1947","1409700092863",5,0.066667,0.15202,0,0.249926024795519
"1951","1409700150227",34,0.120141,0.09147,0,0.121332474827339
"1953","1409700150710",102,0.319821,-0.18811,0,0.00943337096250902
"1954","1409700150725",6,0.214286,-0.14756,0,0.0439246679008412
"1955","1409700150956",169,0.358811,0.08769,0,0.00607492893516816
"1956","1409700150960",158,0.279152,0.09428,0,0.0140571566564805
"1961","1409700250299",101,0.123021,0.23474,0,0.0978369915116169
"1968","1409700250778",3,0.09375,0.29634,0,0.222681160850004
"1969","1409700250782",10,0.322581,0.29586,0,0.0229470132075928
"1970","1409700250797",18,0.195652,-0.46211,0,0.0366649893383109
"1979","1409700251418",3,0.088235,-0.77242,0,0.0835035437555043
"1986","1409700252399",10,0.074627,0.55956,0,0.334818313903487
"1989","1409700312774",80,0.238095,1.04851,0,0.0773122252257859
"1990","1409700312789",53,0.309942,0.51843,0,0.0261334118981029
"1992","1409700320180",163,0.191765,0.26069,0,0.0378873626055553
"1993","1409700320265",93,0.155518,0.49883,0,0.0955897362062771
"1994","140970032027A",65,0.151869,0.21567,0.0461538461538462,0.0401385144337302
"1996","1409700320496",5,0.217391,0.70927,0,0.0981568811962717
"1997","1409700320509",14,0.179487,0.83939,0,0.154393547412268
"1999","1409700320833",15,0.140379,2.45736,0,1.07887890940116
"2000","1409700321140",4,0.066667,0.87009,0,0.503344238652811
"2010","1409700340547",9,0.134328,0.3877,0,0.158880920479562
"2011","1409700341352",3,0.078947,0.76116,0,0.403657194976344
"2014","1409700350231",108,0.143808,0.2755,0,0.0802724050960748
"2015","1409700350246",44,0.173228,0.60738,0,0.113319633339355
"2016","1409700350392",11,0.211538,1.01278,0,0.135436163825182
"2017","1409700350405",135,0.169173,0.90501,0,0.101044785630361
"2018","1409700350551",49,0.117225,0.29004,0,0.14066438036123
"2020","1409700350867",11,0.207547,1.11325,0,0.155214889235632
"2021","1409700351742",90,0.147783,1.60889,0,0.306458322290686
"2022","1409700351757",51,0.138965,1.36155,0,0.317818347838804
"2025","1409700381812",5,0.227273,1.56206,0,0.203487062625567
"2027","1409700382524",45,0.155895,1.08575,0,0.212308141797341
"2028","1409700411009",18,0.171429,0.20848,0,0.0889441149124248
"2034","1409701150871",19,0.135714,0.98578,0,0.266412568214415
"2035","1409701150886",45,0.152542,0.0996,0,0.084438713495083
"2046","140970424098A",121,0.142521,0.11137,0.0661157024793388,-0.00101803129509835
"2072","1409708221973",20,0.025253,0.1507,0,0.347927866809629
"2075","1409708222172",27,0.032374,0.17836,0,0.322174474843121
"2077","1409708222469",7,0.021739,0.36994,0,0.474302953332098
"2078","140970822251A",0,0,0.19997,0,0.514878420487057
"2128","1409800010262",282,0.279485,0.59309,0,0.0124272716270647
"2130","1409800010296",205,0.288732,0.51465,0,0.0153009058020297
"2139","1409800010597",355,0.223411,0.14541,0,0.00977581831977586
"2140","1409800010671",325,0.205177,0.22455,0,0.014595942972389
"2141","1409800010690",272,0.202834,0.09052,0,0.0169725285496893
"2144","1409800010794",160,0.169133,0.50715,0,0.0608968022087998
"2145","1409800010807",187,0.158475,0.056,0,0.0382951944813605
"2147","1409800010883",131,0.220911,0.21359,0,0.0318027482870249
"2148","1409800010898",124,0.159178,0.16652,0,0.0575001232834445
"2150","1409800010968",134,0.100525,0.64707,0,0.154792786640402
"2151","1409800010972",60,0.118577,0.67972,0,0.191897580177716
"2152","1409800010987",118,0.113135,0.3203,0,0.107788533814725
"2153","1409800010991",56,0.208955,0.3123,0,0.0566413460134191
"2158","1409800011078",162,0.171247,0.23354,0,0.0453253537610925
"2164","1409800011171",89,0.123783,0.59899,0,0.146477463426557
"2165","1409800011186",78,0.149712,0.8679,0,0.155574661156276
"2166","1409800011190",219,0.160793,0.29997,0,0.0405798846097488
