"","CVGEO","cant","dens","margin","porc.ap","ind.desat","Municipio","Localidad"
"1","1400100010067",58,0.212454,0.13304,0,0.0436879757226693,"Acatic","Acatic"
"2","1400100010071",183,0.305,-0.09451,0,0.0269101580901045,"Acatic","Acatic"
"3","1400100010103",25,0.130208,0.03172,0,0.0563839389507871,"Acatic","Acatic"
"4","1400100010118",36,0.222222,0.38257,0,0.0477633459465173,"Acatic","Acatic"
"5","1400100010122",31,0.168478,0.01676,0,0.0489314074988692,"Acatic","Acatic"
"6","1400100010137",180,0.252034,-0.31189,0,0.029353770488791,"Acatic","Acatic"
"7","1400100010160",8,0.307692,-0.02158,0,0.0301043464590522,"Acatic","Acatic"
"8","1400100010194",157,0.282883,-0.10648,0,0.0292721404089253,"Acatic","Acatic"
"9","1400100010207",94,0.258242,-0.26757,0,0.0306148997621823,"Acatic","Acatic"
"10","1400100010211",36,0.133333,0.04259,0,0.0557394868738156,"Acatic","Acatic"
"11","1400100010226",60,0.204778,-0.01311,0,0.0419762604707605,"Acatic","Acatic"
"12","1400200010030",255,0.28022,-0.49609,0,0.0236097274018963,"Acatl n de Ju rez","Acatl n de Ju rez"
"13","1400200010064",242,0.198198,-0.38032,0,0.0332164189639622,"Acatl n de Ju rez","Acatl n de Ju rez"
"14","1400200010079",33,0.164179,-0.54078,0,0.0386525847965251,"Acatl n de Ju rez","Acatl n de Ju rez"
"15","1400200010083",8,0.190476,-0.46796,0,0.0369358982611651,"Acatl n de Ju rez","Acatl n de Ju rez"
"16","1400200010115",5,0.098039,-0.18971,0,0.0576372956769547,"Acatl n de Ju rez","Acatl n de Ju rez"
"17","140020001012A",39,0.202073,-0.97081,0,0.0278911931403059,"Acatl n de Ju rez","Acatl n de Ju rez"
"18","1400200020045",196,0.179817,-0.25296,0,0.0383524237610958,"Acatl n de Ju rez","Bellavista"
"19","140020002005A",82,0.282759,-0.53857,0,0.0250698563355487,"Acatl n de Ju rez","Bellavista"
"20","1400200020100",22,0.107843,-0.11241,0,0.0571872388728834,"Acatl n de Ju rez","Bellavista"
"21","1400200020153",7,0.134615,0.19336,0,0.0602489025868557,"Acatl n de Ju rez","Bellavista"
"22","1400200040187",130,0.195195,-0.32478,0,0.0364194317014216,"Acatl n de Ju rez","El Plan (El Cerrito)"
"23","1400300010061",18,0.2,0.32036,0,0.050612585343947,"Ahualulco de Mercado","Ahualulco de Mercado"
"24","1400300010076",9,0.132353,-0.41243,0,0.0462494193181359,"Ahualulco de Mercado","Ahualulco de Mercado"
"25","1400300010080",4,0.071429,-0.19527,0,0.0630536621624052,"Ahualulco de Mercado","Ahualulco de Mercado"
"26","1400300010095",54,0.201493,-0.41041,0,0.0356447672618398,"Ahualulco de Mercado","Ahualulco de Mercado"
"27","1400300010108",191,0.261286,-0.51702,0,0.0257924388684661,"Ahualulco de Mercado","Ahualulco de Mercado"
"28","1400300010112",191,0.218037,-0.54042,0,0.0296304790025193,"Ahualulco de Mercado","Ahualulco de Mercado"
"29","1400300010127",207,0.250302,-0.66752,0,0.0248404386235477,"Ahualulco de Mercado","Ahualulco de Mercado"
"30","1400300010131",183,0.208191,-0.66026,0,0.0291709874842517,"Ahualulco de Mercado","Ahualulco de Mercado"
"31","1400300010146",17,0.17,-0.81624,0,0.0337615531336732,"Ahualulco de Mercado","Ahualulco de Mercado"
"32","1400300010165",8,0.16,0.54776,0,0.0646557130480205,"Ahualulco de Mercado","Ahualulco de Mercado"
"33","1400300010199",7,0.170732,-0.27213,0,0.0431844453074278,"Ahualulco de Mercado","Ahualulco de Mercado"
"34","140040001004A",91,0.296417,-0.20363,0,0.0276587351505413,"Amacueca","Amacueca"
"35","1400400010054",116,0.266667,-0.27091,0,0.0293638319572672,"Amacueca","Amacueca"
"36","1400500010047",107,0.251174,-0.18971,0,0.0322698246722639,"Amatit n","Amatit n"
"37","1400500010051",70,0.27451,-0.5316,0,0.0260321689634706,"Amatit n","Amatit n"
"38","1400500010066",126,0.210351,-0.41872,0,0.0332079341349303,"Amatit n","Amatit n"
"39","1400500010070",81,0.14808,-0.22198,0,0.0459947691116683,"Amatit n","Amatit n"
"40","1400500010085",76,0.217765,-0.24925,0,0.0358182956636876,"Amatit n","Amatit n"
"41","140050001009A",44,0.153846,-0.24895,0,0.0453920179272173,"Amatit n","Amatit n"
"42","1400500010102",10,0.169492,-0.15978,0,0.0455375408903768,"Amatit n","Amatit n"
"43","1400500010136",197,0.280295,-0.389,0,0.0255025208655857,"Amatit n","Amatit n"
"44","1400600010186",248,0.269565,-0.42588,0,0.0253658154274608,"Ameca","Ameca"
"45","1400600010190",226,0.234197,-0.47601,0,0.0283359952113704,"Ameca","Ameca"
"46","1400600010203",229,0.269729,-0.5978,0,0.0237007314221893,"Ameca","Ameca"
"47","1400600010218",133,0.167929,-0.74552,0,0.0330912181055484,"Ameca","Ameca"
"48","1400600010222",165,0.226648,-0.0636,0,0.0360812156428077,"Ameca","Ameca"
"49","1400600010237",227,0.20377,-0.35426,0,0.0332183105637513,"Ameca","Ameca"
"50","1400600010241",27,0.170886,-0.9801,0,0.031119311522874,"Ameca","Ameca"
"51","1400600010256",54,0.203008,-0.63224,0,0.0321064955909391,"Ameca","Ameca"
"52","140060001028A",89,0.274691,-0.80215,0,0.0228268384140331,"Ameca","Ameca"
"53","1400600010294",84,0.234637,-0.33534,0,0.0323835576250716,"Ameca","Ameca"
"54","1400600010307",39,0.156,0.2238,0,0.0558183124169326,"Ameca","Ameca"
"55","1400600010311",157,0.327083,-0.85695,0,0.0179601734737668,"Ameca","Ameca"
"56","1400600010326",141,0.30719,-0.78228,0,0.0200520810763271,"Ameca","Ameca"
"57","1400600010330",14,0.168675,-0.05134,0,0.0478406879445896,"Ameca","Ameca"
"58","1400600010364",13,0.188406,-0.59672,0,0.0350277090087245,"Ameca","Ameca"
"59","1400600010379",8,0.2,0.90008,0,0.0659453571288252,"Ameca","Ameca"
"60","1400600010398",259,0.298731,-0.28848,0,0.024257395976426,"Ameca","Ameca"
"61","1400600010400",156,0.231454,-0.08495,0,0.0353112246415287,"Ameca","Ameca"
"62","1400600010491",62,0.23221,0.04834,0,0.0392114126556628,"Ameca","Ameca"
"63","1400600110415",87,0.220253,-0.15163,0,0.0368922109228619,"Ameca","El Cabez¢n (El Lim¢n)"
"64","140060011042A",75,0.211864,-0.15431,0,0.0381616000751907,"Ameca","El Cabez¢n (El Lim¢n)"
"65","1400700010041",40,0.263158,0.04239,0,0.0355416102120225,"San Juanito de Escobedo","San Juanito de Escobedo"
"66","1400700010056",8,0.121212,0.11985,0,0.061026136516681,"San Juanito de Escobedo","San Juanito de Escobedo"
"67","1400700010060",7,0.132075,-0.42999,0,0.0459779001757733,"San Juanito de Escobedo","San Juanito de Escobedo"
"68","1400700010075",155,0.259631,-0.47483,0,0.0269221000604398,"San Juanito de Escobedo","San Juanito de Escobedo"
"69","140070001008A",104,0.205534,-0.02209,0,0.0407782461540136,"San Juanito de Escobedo","San Juanito de Escobedo"
"70","1400700010094",4,0.108108,-0.82329,0,0.0419414899005417,"San Juanito de Escobedo","San Juanito de Escobedo"
"71","1400800010123",341,0.278595,-0.25803,0,0.0252849599041108,"Arandas","Arandas"
"72","1400800010138",241,0.28487,-0.06201,0,0.0284192713162356,"Arandas","Arandas"
"73","1400800010142",310,0.315682,-0.25217,0,0.0226604787049562,"Arandas","Arandas"
"74","1400800010176",155,0.172031,-0.11526,0,0.0427826730832666,"Arandas","Arandas"
"75","1400800010195",102,0.183453,-0.24854,0,0.0398033770790853,"Arandas","Arandas"
"76","1400800010208",105,0.191956,-0.21713,0,0.0391405496577873,"Arandas","Arandas"
"77","1400800010212",178,0.217073,-0.21133,0,0.0346766198022966,"Arandas","Arandas"
"78","1400800010227",166,0.249249,0.50369,0,0.0430035911622514,"Arandas","Arandas"
"79","1400800010301",48,0.196721,-0.25713,0,0.0389288506510633,"Arandas","Arandas"
"80","1400800010369",34,0.156682,0.3025,0,0.0578308243902247,"Arandas","Arandas"
"81","1400800010373",31,0.144186,0.26725,0,0.0595234493358804,"Arandas","Arandas"
"82","1400800010405",107,0.175123,0.51597,0,0.0575375115152958,"Arandas","Arandas"
"83","1400800010439",67,0.211356,0.07813,0,0.0425938382950361,"Arandas","Arandas"
"84","1400800010443",23,0.129213,-0.47338,0,0.0451725065449508,"Arandas","Arandas"
"85","1400800010458",10,0.16129,1.00929,0,0.0790631865799919,"Arandas","Arandas"
"86","1400800010477",7,0.21875,0.38687,0,0.0491499963542542,"Arandas","Arandas"
"87","1400800010481",10,0.25,0.07854,0,0.0383787557599895,"Arandas","Arandas"
"88","1400800010532",33,0.151376,0.26829,0,0.05803331929869,"Arandas","Arandas"
"89","1400800010547",4,0.137931,0.00643,0,0.0548649682521714,"Arandas","Arandas"
"90","1400800010674",52,0.171053,0.28649,0,0.0541438100757207,"Arandas","Arandas"
"91","1400800010689",13,0.142857,-0.97361,0,0.034623467155699,"Arandas","Arandas"
"92","1400800010782",195,0.264228,0.02511,0,0.0324800024916198,"Arandas","Arandas"
"93","1400800010797",135,0.247253,-0.05877,0,0.0341948628836092,"Arandas","Arandas"
"94","140080001080A",73,0.175904,-0.6685,0,0.0343528589816243,"Arandas","Arandas"
"95","1400800010814",103,0.211066,-0.17974,0,0.0372998435775534,"Arandas","Arandas"
"96","1400800010829",152,0.266667,0.13119,0,0.0345194937802218,"Arandas","Arandas"
"97","1400800010833",98,0.148485,-0.42237,0,0.041628528351826,"Arandas","Arandas"
"98","1400800010848",20,0.10929,-0.1728,0,0.0554408149760112,"Arandas","Arandas"
"99","1400800010852",11,0.077465,-0.85262,0,0.045846689812621,"Arandas","Arandas"
"100","1400800010867",203,0.308853,-0.81916,0,0.0190035046131628,"Arandas","Arandas"
"101","1400800010886",8,0.063492,-0.69283,0,0.0517575290406535,"Arandas","Arandas"
"102","1400800010890",16,0.124031,-0.1985,0,0.0521949860316247,"Arandas","Arandas"
"103","1400802800388",97,0.215556,-0.04732,0,0.0390886165421215,"Arandas","Santa Mar¡a del Valle"
"104","1400802800392",108,0.22833,-0.07641,0,0.0367139991006522,"Arandas","Santa Mar¡a del Valle"
"105","1400802800513",7,0.145833,-0.394,0,0.04455892360105,"Arandas","Santa Mar¡a del Valle"
"106","1400900010046",172,0.205251,-0.34621,0,0.0341070789769583,"El Arenal","El Arenal"
"107","1400900010065",134,0.20679,-0.12984,0,0.0381052160600182,"El Arenal","El Arenal"
"108","140090001007A",13,0.158537,-0.70158,0,0.037048672924768,"El Arenal","El Arenal"
"109","1400900010084",37,0.159483,-0.12522,0,0.0472209806172217,"El Arenal","El Arenal"
"110","1400900010101",9,0.157895,-0.56958,0,0.0394713844772509,"El Arenal","El Arenal"
"111","1400900010116",5,0.104167,-0.01397,0,0.0610511428167597,"El Arenal","El Arenal"
"112","1400900010135",74,0.296,-0.82141,0,0.0211875629374824,"El Arenal","El Arenal"
"113","140090001014A",86,0.206235,-0.42703,0,0.0342458268747723,"El Arenal","El Arenal"
"114","1400900010169",3,0.115385,-0.06886,0,0.0573660132788824,"El Arenal","El Arenal"
"115","1400900060239",31,0.146226,0.0962,0,0.054748524461646,"El Arenal","Santa Cruz del Astillero"
"116","1400900060243",77,0.188264,-0.50635,0,0.0353258208304905,"El Arenal","Santa Cruz del Astillero"
"117","1401000010066",6,0.060606,1.9919,0,0.174085500753716,"Atemajac de Brizuela","Atemajac de Brizuela"
"118","1401000010070",12,0.131868,1.13297,0,0.0923980019565494,"Atemajac de Brizuela","Atemajac de Brizuela"
"119","140100001009A",92,0.215457,0.75288,0,0.0560909819990821,"Atemajac de Brizuela","Atemajac de Brizuela"
"120","1401000010102",107,0.235683,0.53639,0,0.0471183216578727,"Atemajac de Brizuela","Atemajac de Brizuela"
"121","1401000010121",14,0.208955,0.3238,0,0.0492484315339101,"Atemajac de Brizuela","Atemajac de Brizuela"
"122","1401100010078",94,0.270893,-0.33712,0,0.0284089710888333,"Atengo","Atengo"
"123","1401100010082",7,0.21875,0.59486,0,0.0539467762752893,"Atengo","Atengo"
"124","1401100010097",8,0.210526,-0.55846,0,0.033098818391014,"Atengo","Atengo"
"125","140110001010A",9,0.243243,0.57214,0,0.0490242883522337,"Atengo","Atengo"
"126","1401200010126",88,0.324723,-0.45681,0,0.0224313897178493,"Atenguillo","Atenguillo"
"127","1401200010130",53,0.291209,-0.58857,0,0.0241635475016909,"Atenguillo","Atenguillo"
"128","1401300010049",389,0.297628,-0.51426,0,0.0206037812407863,"Atotonilco el Alto","Atotonilco el Alto"
"129","1401300010053",264,0.272165,-0.42365,0,0.0249609490316094,"Atotonilco el Alto","Atotonilco el Alto"
"130","1401300010142",110,0.237581,-0.55809,0,0.0286333471196847,"Atotonilco el Alto","Atotonilco el Alto"
"131","1401300010157",23,0.221154,-0.38279,0,0.0342563834074825,"Atotonilco el Alto","Atotonilco el Alto"
