"","CVGEO","cant","dens","margin","porc.ap","Municipio","Localidad","Ind_desat"
"661","1403900011876",106,0.321212,0.01651,0.0188679245283019,"Guadalajara","Guadalajara",0.0168830761050612
"670","1403900011965",279,0.34487,-0.43127,0.014336917562724,"Guadalajara","Guadalajara",0.0149718637690657
"745","1403900013482",192,0.213333,0.16492,0.0260416666666667,"Guadalajara","Guadalajara",0.0121429012785685
"804","1403900014156",170,0.313653,-0.85509,0.0235294117647059,"Guadalajara","Guadalajara",0.000754832062162661
"812","1403900014230",213,0.237989,-0.04579,0.0469483568075117,"Guadalajara","Guadalajara",-0.0121721234305036
"912","1403900015347",221,0.283333,0.11579,0.00452488687782805,"Guadalajara","Guadalajara",0.0328362579084872
"1921","1409700010195",48,0.139942,0.17268,0.0833333333333333,"Tlajomulco de Z£¤iga","Tlajomulco de Z£¤iga",-0.0450170576758258
"1922","1409700010208",35,0.174129,0.48985,0.114285714285714,"Tlajomulco de Z£¤iga","Tlajomulco de Z£¤iga",-0.0701790474184642
"1928","1409700010918",179,0.2737,0.06077,0.122905027932961,"Tlajomulco de Z£¤iga","Tlajomulco de Z£¤iga",-0.0864449641962204
"1930","1409700010937",170,0.236439,0.20884,0.0470588235294118,"Tlajomulco de Z£¤iga","Tlajomulco de Z£¤iga",-0.0081228012024908
"1934","1409700011136",3,0.085714,1.36934,0,"Tlajomulco de Z£¤iga","Tlajomulco de Z£¤iga",0.0651610863952331
"1935","1409700012098",162,0.152975,-0.55602,0.0493827160493827,"Tlajomulco de Z£¤iga","Tlajomulco de Z£¤iga",-0.0216522266382156
"1940","1409700050335",83,0.136066,0.26366,0.072289156626506,"Tlajomulco de Z£¤iga","Cajititl n",-0.0323944025470369
"1947","1409700092863",10,0.133333,0.15202,0,"Tlajomulco de Z£¤iga","El Capul¡n",0.0379666219425985
"1951","1409700150227",26,0.091873,0.09147,0,"Tlajomulco de Z£¤iga","San Miguel Cuyutl n",0.0369601338484228
"1953","1409700150710",80,0.239332,-0.18811,0,"Tlajomulco de Z£¤iga","San Miguel Cuyutl n",0.0326479900536231
"1954","1409700150725",3,0.107143,-0.14756,0,"Tlajomulco de Z£¤iga","San Miguel Cuyutl n",0.0332407433677716
"1955","1409700150956",94,0.199575,0.08769,0.0106382978723404,"Tlajomulco de Z£¤iga","San Miguel Cuyutl n",0.0262598954549642
"1956","1409700150960",76,0.134276,0.09428,0.0263157894736842,"Tlajomulco de Z£¤iga","San Miguel Cuyutl n",0.0106904574750946
"1961","1409700250299",156,0.190012,0.23474,0.00641025641025641,"Tlajomulco de Z£¤iga","San Agust¡n",0.0329758182113221
"1968","1409700250778",3,0.09375,0.29634,0,"Tlajomulco de Z£¤iga","San Agust¡n",0.0404774797721088
"1969","1409700250782",4,0.129032,0.29586,0,"Tlajomulco de Z£¤iga","San Agust¡n",0.0404688594769101
"1970","1409700250797",12,0.130435,-0.46211,0,"Tlajomulco de Z£¤iga","San Agust¡n",0.0289104379016232
"1979","1409700251418",3,0.088235,-0.77242,0,"Tlajomulco de Z£¤iga","San Agust¡n",0.0251915964739169
"1986","1409700252399",20,0.149254,0.55956,0,"Tlajomulco de Z£¤iga","San Agust¡n",0.0454922964012519
"1989","1409700312774",43,0.127976,1.04851,0,"Tlajomulco de Z£¤iga","San Lucas Evangelista",0.0565147821146299
"1990","1409700312789",25,0.146199,0.51843,0,"Tlajomulco de Z£¤iga","San Lucas Evangelista",0.0446695741218973
"1992","1409700320180",192,0.225882,0.26069,0.0104166666666667,"Tlajomulco de Z£¤iga","San Sebasti n el Grande",0.0294255462369057
"1993","1409700320265",136,0.227425,0.49883,0,"Tlajomulco de Z£¤iga","San Sebasti n el Grande",0.0442827670490497
"1994","140970032027A",120,0.280374,0.21567,0,"Tlajomulco de Z£¤iga","San Sebasti n el Grande",0.0390542023941677
"1996","1409700320496",4,0.173913,0.70927,0,"Tlajomulco de Z£¤iga","San Sebasti n el Grande",0.0486169890612937
"1997","1409700320509",18,0.230769,0.83939,0,"Tlajomulco de Z£¤iga","San Sebasti n el Grande",0.0515066284788132
"1999","1409700320833",6,0.3,2.45736,0.166666666666667,"Tlajomulco de Z£¤iga","San Sebasti n el Grande",-0.0610681954086498
"2000","1409700321140",6,0.1,0.87009,0.166666666666667,"Tlajomulco de Z£¤iga","San Sebasti n el Grande",-0.114453596047715
"2010","1409700340547",10,0.149254,0.3877,0.1,"Tlajomulco de Z£¤iga","Santa Cruz de las Flores",-0.0578479018830519
"2011","1409700341352",7,0.184211,0.76116,0,"Tlajomulco de Z£¤iga","Santa Cruz de las Flores",0.0497493758581058
"2014","1409700350231",137,0.182423,0.2755,0.0291970802919708,"Tlajomulco de Z£¤iga","Santa Cruz del Valle",0.0109078204545222
"2015","1409700350246",51,0.200787,0.60738,0,"Tlajomulco de Z£¤iga","Santa Cruz del Valle",0.0464679078642323
"2016","1409700350392",10,0.192308,1.01278,0,"Tlajomulco de Z£¤iga","Santa Cruz del Valle",0.0556258459128765
"2017","1409700350405",160,0.200501,0.90501,0,"Tlajomulco de Z£¤iga","Santa Cruz del Valle",0.0530284057729094
"2018","1409700350551",78,0.186603,0.29004,0.0384615384615385,"Tlajomulco de Z£¤iga","Santa Cruz del Valle",0.00190294589779796
"2020","1409700350867",14,0.264151,1.11325,0,"Tlajomulco de Z£¤iga","Santa Cruz del Valle",0.0581618113335787
"2021","1409700351742",136,0.223317,1.60889,0,"Tlajomulco de Z£¤iga","Santa Cruz del Valle",0.0724688437439472
"2022","1409700351757",63,0.171662,1.36155,0,"Tlajomulco de Z£¤iga","Santa Cruz del Valle",0.0649362383681999
"2025","1409700381812",3,0.136364,1.56206,0.333333333333333,"Tlajomulco de Z£¤iga","La Uni¢n del Cuatro (San Jos‚ del Valle)",-0.262354827500663
"2027","1409700382524",5,0.151515,1.08575,0,"Tlajomulco de Z£¤iga","La Uni¢n del Cuatro (San Jos‚ del Valle)",0.0574564083818126
"2028","1409700411009",12,0.114286,0.20848,0,"Tlajomulco de Z£¤iga","Zapote del Valle (Zapote de Santa Cruz)",0.0389298031475657
"2034","1409701150871",19,0.135714,0.98578,0,"Tlajomulco de Z£¤iga","La Alameda",0.0549633928264756
"2035","1409701150886",72,0.244068,0.0996,0,"Tlajomulco de Z£¤iga","La Alameda",0.0370937076716291
"2046","140970424098A",164,0.193168,0.11137,0.0121951219512195,"Tlajomulco de Z£¤iga","La Tijera",0.0250928195929144
