"","Colonia","Municipio","Ind. Marg."
"1","18 DE MARZO","guadalajara",-1.45392018922376
"2","1o. DE MAYO","guadalajara",-0.360924109139885
"3","8 DE JULIO","guadalajara",-1.46377985030083
"4","ARANDAS","guadalajara",-0.979084871010199
"5","ARCOS VALLARTA","guadalajara",-1.09393665518652
"6","ARTESANOS","guadalajara",-1.18230832478022
"7","ATLAS","guadalajara",-0.7041083678257
"8","AUTOCINEMA","guadalajara",-1.06544785639093
"9","AYUNTAMIENTO","guadalajara",-1.75145567391954
"10","BALCONES DEL CUATRO","guadalajara",0.564855748987193
"11","BOSQUES DE LA VICTORIA","guadalajara",-1.60347598120745
"12","BOSQUES DEL BOULEVARD","guadalajara",-1.42255820995146
"13","CANTARRANAS","guadalajara",-0.114856519286094
"14","CENTRO","guadalajara",-0.641073225146309
"15","CHAPALITA","guadalajara",-1.90053063925735
"16","CHAPULTEPEC COUNTRY","guadalajara",-1.52491642694599
"17","COLINAS DE LA NORMAL","guadalajara",-1.53953084969189
"18","COLINAS DE SAN JAVIER","guadalajara",-2.01056954368011
"19","COLOMOS PROVIDENCIA","guadalajara",-2.04672525658094
"21","COUNTRY CLUB","guadalajara",-1.83430694122288
"22","DEL FRESNO","guadalajara",-0.342280656442694
"23","DEL PERIODISTA","guadalajara",-1.53246050094141
"24","DEL SUR","guadalajara",-0.504507821283206
"25","EL CARMEN","guadalajara",0.639271371628908
"26","EL DEAN","guadalajara",-0.0769837262676128
"27","EL JAGUEY","guadalajara",1.27836605540305
"28","EL MANANTIAL","guadalajara",-1.4184336156472
"29","EL RETIRO","guadalajara",-0.682178551116434
"30","EL ROSARIO","guadalajara",-1.25923825342922
"31","EL SAUZ","guadalajara",-0.67860814218674
"32","EL ZALATE","guadalajara",-0.69333901109257
"33","ELECTRICISTAS","guadalajara",-1.46740189699109
"34","EMILIANO ZAPATA","guadalajara",0.167619804206472
"35","FEDERALISMO","guadalajara",-0.317635849828267
"36","FERROCARRIL","guadalajara",0.850932786648852
"37","FOVISSSTE ESTADIO","guadalajara",-1.39003042969902
"38","FRANCISCO VILLA","guadalajara",0.231663157612394
"39","HIGUERILLAS","guadalajara",-0.610215118811048
"40","INDEPENDENCIA","guadalajara",-1.54587523371926
"41","INSURGENTES","guadalajara",0.0569995346294683
"42","ITALIA PROVIDENCIA","guadalajara",-1.78855259056905
"43","JARDINES ALCALDE","guadalajara",-1.73259090471809
"44","JARDINES DE GUADALUPE","guadalajara",0.058220152530185
"45","JARDINES DE LA BARRANCA","guadalajara",0.460272737998103
"46","JARDINES DE LA PAZ","guadalajara",-1.28604700371032
"47","JARDINES DE LOS ARCOS","guadalajara",-1.63085427315731
"48","JARDINES DE SANTA ISABEL","guadalajara",-0.731037374104586
"49","JARDINES DEL BOSQUE","guadalajara",-1.81089491906427
"50","JARDINES DEL COUNTRY","guadalajara",-1.8133088498792
"51","JARDINES DEL ROSARIO","guadalajara",-1.52806852047422
"52","JARDINES DEL SUR","guadalajara",-1.28573613415691
"53","JUAN MANUEL","guadalajara",-2.21562782941978
"54","LA AURORA","guadalajara",-0.343845881338276
"55","LA JOYA","guadalajara",-0.618658349851819
"56","LA JOYITA","guadalajara",0.463829441716438
"57","LA LOMA","guadalajara",-0.717122439644786
"58","LA NOGALERA","guadalajara",-0.546678636794914
"59","LA PAZ","guadalajara",-0.524792743920319
"60","LA PERLA","guadalajara",-0.32883064872084
"61","LAS CONCHAS","guadalajara",0.313491292550375
"62","LAS HUERTAS","guadalajara",0.00279797859727702
"63","LAS TORRES","guadalajara",-1.15197501277002
"64","LIBERTAD","guadalajara",-0.181194150621969
"65","LOMA LINDA","guadalajara",1.0625642759747
"66","LOMAS DE GUEVARA","guadalajara",-2.08116028341063
"67","LOMAS DE POLANCO","guadalajara",-0.123608953107157
"68","LOMAS DE SAN EUGENIO","guadalajara",-0.0857154146562911
"69","LOMAS DE SAN PEDRO","guadalajara",-0.649176793056396
"70","LOMAS DEL PARADERO","guadalajara",-0.436444525695447
"71","LOMAS DEL PEDREGAL","guadalajara",1.03293896578433
