"","Nombre","CP","Municipio","ind_marg"
"1","HERNANDEZ ROMO",44410,"guadalajara",1.1589603308422
"3","REFORMA",44450,"guadalajara",-0.536670402536788
"7","FERROCARRIL",44440,"guadalajara",0.850932786648852
"12","LOMA EL PEDREGAL",45205,"zapopan",3.801574005837
"13","MESA COLORADA ORIENTE",45205,"zapopan",2.22235201690387
"14","MIRADOR ESCONDIDO",45180,"zapopan",3.08693031065942
"15","LA CORONILLA",45180,"zapopan",2.11890175757332
"17","LA MESA COLORADA PONIENTE",45205,"zapopan",2.67618518863487
"18","CRUCERO DE LA MESA",45180,"zapopan",0.670839978137505
"19","MESA DE LOS OCOTES",45205,"zapopan",5.02463498543421
"20","VILLA DE GUADALUPE",45180,"zapopan",2.24177067827085
"21","LA HIGUERA",45180,"zapopan",3.20489274670027
"22","MIGUEL HIDALGO",45190,"zapopan",1.00490618218195
"23","LOMAS DEL REFUGIO",45180,"zapopan",2.11864028432641
"24","NUEVA ESPANA",45180,"zapopan",0.851293803156565
"25","INDIGENA DE MEZQUITAN",45196,"zapopan",1.40452913576213
"26","BENITO JUAREZ NORTE",45199,"zapopan",1.5888699777886
"27","ARROYO HONDO 2a SECCION",45199,"zapopan",1.00813263078468
"28","LA JUNTA DE LOS OCOTES",45180,"zapopan",2.50096277375407
"29","AGUA FRIA",45180,"zapopan",2.95400502940113
"30","LOMAS DEL CENTINELA",45180,"zapopan",5.2492417677914
"31","CABANITAS",45180,"zapopan",1.52289711601868
"32","NUEVO VERGEL",45180,"zapopan",1.59780786939556
"33","LOMAS DE TABACHINES",45180,"zapopan",2.58470532289797
"35","LOMAS DEL VERGEL",45188,"zapopan",1.51870150729496
"36","JARDINES DEL VERGEL",45180,"zapopan",0.0672849147937806
"37","JARDINES DE LOS BELENES",45190,"zapopan",0.394237434955235
"38","TABACHINES",45188,"zapopan",-1.07150356942583
"39","COLINA DE LOS BELENES",45180,"zapopan",0.759045929034929
"40","SAN JOSE DEL BAJIO",45132,"zapopan",-1.1488296089489
"42","EL CENTINELA",45180,"zapopan",0.31925040247438
"44","SAN JUAN DE OCOTAN",45019,"zapopan",1.93615941547196
"46","12 DE DICIEMBRE",45068,"zapopan",4.65559197383588
"47","EL REHILETE",45066,"zapopan",11.2530198614737
"48","MIRAMAR",45060,"zapopan",1.01432325354946
"49","CARLOS RIVERA ACEVES",45060,"zapopan",3.00657413197018
"50","JARDINES TAPATIOS",45066,"zapopan",2.33949647459772
"51","LOMAS DE LA PRIMAVERA",45066,"zapopan",2.5244852540714
"52","LA FLORESTA DEL COLLI",45066,"zapopan",2.01427257358121
"54","LA FLORIDA",45609,"zapopan",2.14046881934535
"55","LOS CAJETES",45609,"zapopan",1.88317041538756
"57","SAN ESTEBAN",45180,"zapopan",4.47664997559617
"58","BOSQUES DE SAN ISIDRO",45180,"zapopan",-1.37529843593097
"59","ZAPOPAN",45180,"zapopan",-0.664573479756588
"60","LA VENTA DEL ASTILLERO",45100,"zapopan",0.29370580032802
"61","NEXTIPAC",45100,"zapopan",0.316187674454958
"62","LA MAGDALENA",45100,"zapopan",2.29121074278929
"63","LAS AGUJAS",45100,"zapopan",1.40855324985248
"64","PRADOS DE NEXTIPAC 1a SECCION",45100,"zapopan",3.06887324100345
"65","TESISTAN",45100,"zapopan",0.0670765197683445
"66","BASE AEREA MILITAR NO 5",45160,"zapopan",-0.214305672914849
"67","SAN JOSE EJIDAL",45100,"zapopan",2.18387028810554
"68","LOS ANGELES",45200,"zapopan",4.97246139448438
"78","EL BOSQUE",45180,"zapopan",-1.73191477296965
"79","MIRADOR DE SAN ISIDRO",45180,"zapopan",-1.32612767974049
"85","PRADOS DE NEXTIPAC 2a SECCION",45100,"zapopan",3.18327227745857
"86","SANTA LUCIA",45100,"zapopan",2.34733281287223
"89","CAMINO REAL",45609,"zapopan",-2.05020469641365
"90","LOS CAJETES",45609,"zapopan",1.88317041538756
"91","PALMIRA",45609,"zapopan",1.34455493295088
"92","CANTERAS DEL CENTINELA",45180,"zapopan",-1.64000479258215
"101","ARENALES TAPATIOS",45066,"zapopan",1.2174494803796
"102","EL TIZATE",45100,"zapopan",3.88794378598876
"105","LA GRANJA",45200,"zapopan",3.10101936161509
"107","PUERTA DEL BOSQUE",45066,"zapopan",-2.07397813237758
"108","EL FORTIN",45200,"zapopan",-0.342409523491791
"110","JARDINES DE SANTA ANA",45100,"zapopan",0.716675095855491
"112","SANTA ANA TEPETITLAN",45100,"zapopan",1.07586457356915
"120","BOSQUE DEL CENTINELA II",45180,"zapopan",-1.19416339728176
"123","PARAISO",45690,"tlajomulco",5.8433968870837
"124","ESMERALDA",45690,"tlajomulco",3.3573017149086
"125","CENTRO",45690,"tlajomulco",1.7730987277784
"126","EL ZAPOTE",45640,"tlajomulco",1.24113202081809
"128","CENTRO",45640,"tlajomulco",1.7730987277784
"129","PATRIA",45640,"tlajomulco",1.32996272809997
"130","SAN LUCAS EVANGELISTA",45600,"tlajomulco",2.07156374925876
"131","SANTA CRUZ DE LAS FLORES",45640,"tlajomulco",0.501657814237502
"132","CAJITITLAN",45670,"tlajomulco",1.15361275054355
"133","EL CHIRIMOYO",45640,"tlajomulco",0.615345638606386
"134","BONANZA",45640,"tlajomulco",-1.70939887138081
"139","SAN MIGUEL CUYUTLAN",45660,"tlajomulco",1.25700926446593
"142","JARDINES DE SANTA ANITA",45640,"tlajomulco",-0.343163294313392
"145","LA COLADERA",45640,"tlajomulco",2.71958084937418
"146","SAN AGUSTIN",45640,"tlajomulco",0.646730243994211
"147","BALCONES DE SANTA ANITA",45640,"tlajomulco",0.494641831276896
"149","HACIENDA CASA FUERTE",45640,"tlajomulco",-1.05382087637079
"150","RINCON DE LOS COPALES",45640,"tlajomulco",2.84323850629975
"152","SAN JOSE DEL VALLE",45640,"tlajomulco",1.66213635510441
"153","UNION DEL CUATRO",45640,"tlajomulco",0.399273198392187
"155","CONCEPCION DEL VALLE (LA CONCHA)",45640,"tlajomulco",1.34927200609803
"156","INSURGENTES",45690,"tlajomulco",4.8025666496512
"157","LAS FLORES",45640,"tlajomulco",0.0253845580887686
"161","LOS OCAMPO",45640,"tlajomulco",0.987443446534345
"162","VALLE DE TLAJOMULCO",45640,"tlajomulco",0.852111909903085
"163","SAN SEBASTIAN EL GRANDE",45640,"tlajomulco",2.12034362658442
"164","EL PARAISO",45640,"tlajomulco",-1.32014112708707
"165","VALLE DORADO",45640,"tlajomulco",0.149211860798605
"166","HACIENDA DE LOS EUCALIPTOS",45640,"tlajomulco",0.409124334475533
"169","VILLAS DEL EDEN",45640,"tlajomulco",10.4345019649051
"171","ETAPA 6",45640,"tlajomulco",0.072527907104904
"172","ETAPA 7",45640,"tlajomulco",1.37042054181681
"173","ETAPA 8",45640,"tlajomulco",2.38414386237013
"174","ETAPA 9",45640,"tlajomulco",2.56830237723118
"175","ETAPA 10",45640,"tlajomulco",3.55437427230568
"176","ETAPA 11",45640,"tlajomulco",1.9090884739113
"177","ETAPA 15",45640,"tlajomulco",2.70367810056119
"178","ETAPA 16",45640,"tlajomulco",3.4915185300852
"179","ETAPA 17",45640,"tlajomulco",0.977813744438262
"180","ETAPA 19",45640,"tlajomulco",4.15437962136955
"181","ETAPA 14",45640,"tlajomulco",3.89888952070757
"182","ETAPA 18",45640,"tlajomulco",3.40713004664886
"183","PASEO DE LOS AGAVES",45640,"tlajomulco",0.0448489365325631
"184","PRADERAS DE LA ALAMEDA",45640,"tlajomulco",0.277957127490431
"185","COLONIA LA ALAMEDA",45640,"tlajomulco",0.849220027178953
